 Re{Ex} Im{Ex} Re{Ey} Im{Ey} Re{Ez} Im{Ez} Re{Hx} Im{Hx} Re{Hy} Im{Hy} Re{Hz} Im{Hz}
 -0.11037887E-13 -0.12074309E-16  0.32517384E-29 -0.32016842E-30  0.18794188E-14  0.69249157E-15 -0.75031559E-33  0.41040582E-33  0.35477457E-17  0.75481434E-17 -0.22858654E-34 -0.12083452E-33
 -0.11658213E-13  0.19463171E-15  0.33871929E-29 -0.35220143E-30  0.20396356E-14  0.66166362E-15 -0.69380098E-33  0.44187407E-33  0.43089986E-17  0.78698409E-17 -0.18878545E-34 -0.12297740E-33
 -0.12310640E-13  0.43414632E-15  0.35291442E-29 -0.38808167E-30  0.22098288E-14  0.62199114E-15 -0.62995863E-33  0.47256127E-33  0.51424257E-17  0.81806859E-17 -0.14076380E-34 -0.12533438E-33
 -0.12996056E-13  0.70981515E-15  0.36778739E-29 -0.42815574E-30  0.23903425E-14  0.57243785E-15 -0.55823435E-33  0.50214228E-33  0.60529058E-17  0.84768879E-17 -0.83559294E-35 -0.12796949E-33
 -0.13715285E-13  0.10252442E-14  0.38336738E-29 -0.47279466E-30  0.25815041E-14  0.51187960E-15 -0.47804059E-33  0.53025413E-33  0.70455273E-17  0.87541879E-17 -0.16134046E-35 -0.13095865E-33
 -0.14469068E-13  0.13843152E-14  0.39968466E-29 -0.52239526E-30  0.27836194E-14  0.43909868E-15 -0.38875427E-33  0.55649288E-33  0.81255862E-17  0.90078166E-17  0.62628175E-35 -0.13439122E-33
 -0.15258047E-13  0.17912013E-14  0.41677069E-29 -0.57738176E-30  0.29969675E-14  0.35277792E-15 -0.28971452E-33  0.58041014E-33  0.92985821E-17  0.92324498E-17  0.15392428E-34 -0.13837188E-33
 -0.16082750E-13  0.22503837E-14  0.43465818E-29 -0.63820737E-30  0.32217952E-14  0.25149443E-15 -0.18022000E-33  0.60150948E-33  0.10570214E-16  0.94221602E-17  0.25903383E-34 -0.14302265E-33
 -0.16943570E-13  0.27666681E-14  0.45338118E-29 -0.70535607E-30  0.34583107E-14  0.13371327E-15 -0.59526004E-34  0.61924237E-33  0.11946372E-16  0.95703664E-17  0.37932042E-34 -0.14848519E-33
 -0.17840744E-13  0.33452026E-14  0.47297521E-29 -0.77934446E-30  0.37066762E-14 -0.22192687E-17  0.73158825E-34  0.63300390E-33  0.13433130E-16  0.96697778E-17  0.51623245E-34 -0.15492330E-33
 -0.18774330E-13  0.39914949E-14  0.49347740E-29 -0.86072382E-30  0.39670005E-14 -0.15808259E-15  0.21867618E-33  0.64212807E-33  0.15036731E-16  0.97123368E-17  0.67130310E-34 -0.16252585E-33
 -0.19744181E-13  0.47114307E-14  0.51492663E-29 -0.95008224E-30  0.42393301E-14 -0.33578889E-15  0.37792227E-33  0.64588266E-33  0.16763576E-16  0.96891559E-17  0.84614918E-34 -0.17150993E-33
 -0.20749919E-13  0.55112925E-14  0.53736375E-29 -0.10480470E-29  0.45236396E-14 -0.53739059E-15  0.55185258E-33  0.64346361E-33  0.18620205E-16  0.95904517E-17  0.10424689E-33 -0.18212448E-33
 -0.21790904E-13  0.63977781E-14  0.56083174E-29 -0.11552872E-29  0.48198218E-14 -0.76508790E-15  0.74148724E-33  0.63398884E-33  0.20613278E-16  0.94054742E-17  0.12620377E-33 -0.19465436E-33
 -0.22866198E-13  0.73780197E-14  0.58537603E-29 -0.12725165E-29  0.51276755E-14 -0.10212366E-14  0.94791720E-33  0.61649148E-33  0.22749549E-16  0.91224317E-17  0.15067028E-33 -0.20942489E-33
 -0.23974535E-13  0.84596035E-14  0.61104478E-29 -0.14004962E-29  0.54468934E-14 -0.13083562E-14  0.11723113E-32  0.58991228E-33  0.25035840E-16  0.87284108E-17  0.17783746E-33 -0.22680702E-33
 -0.25114280E-13  0.96505891E-14  0.63788926E-29 -0.15400386E-29  0.57770481E-14 -0.16291380E-14  0.14159241E-32  0.55309122E-33  0.27479007E-16  0.82092914E-17  0.20790157E-33 -0.24722313E-33
 -0.26283386E-13  0.10959529E-13  0.66596422E-29 -0.16920110E-29  0.61175771E-14 -0.19864532E-14  0.16801057E-32  0.50475812E-33  0.30085908E-16  0.75496567E-17  0.24106257E-33 -0.27115364E-33
 -0.27479349E-13  0.12395487E-13  0.69532846E-29 -0.18573399E-29  0.64677659E-14 -0.23833621E-14  0.19663117E-32  0.44352202E-33  0.32863355E-16  0.67326969E-17  0.27752218E-33 -0.29914444E-33
 -0.28699163E-13  0.13968059E-13  0.72604539E-29 -0.20370154E-29  0.68267308E-14 -0.28231220E-14  0.22761157E-32  0.36785927E-33  0.35818073E-16  0.57401077E-17  0.31748137E-33 -0.33181534E-33
 -0.29939263E-13  0.15687394E-13  0.75818372E-29 -0.22320973E-29  0.71933984E-14 -0.33091962E-14  0.26112235E-32  0.27609989E-33  0.38956642E-16  0.45519824E-17  0.36113705E-33 -0.36986967E-33
 -0.31195473E-13  0.17564206E-13  0.79181832E-29 -0.24437210E-29  0.75664845E-14 -0.38452631E-14  0.29734890E-32  0.16641209E-33  0.42285444E-16  0.31466965E-17  0.40867801E-33 -0.41410513E-33
 -0.32462943E-13  0.19609800E-13  0.82703115E-29 -0.26731047E-29  0.79444711E-14 -0.44352243E-14  0.33649329E-32  0.36784323E-34  0.45810591E-16  0.15007866E-17  0.46027964E-33 -0.46542614E-33
 -0.33736087E-13  0.21836086E-13  0.86391243E-29 -0.29215579E-29  0.83255805E-14 -0.50832142E-14  0.37877642E-32 -0.11499521E-33  0.49537859E-16 -0.41117987E-18  0.51609730E-33 -0.52485785E-33
 -0.35008513E-13  0.24255596E-13  0.90256198E-29 -0.31904914E-29  0.87077477E-14 -0.57936082E-14  0.42444046E-32 -0.29136253E-33  0.53472600E-16 -0.26167417E-17  0.57625801E-33 -0.59356201E-33
 -0.36272952E-13  0.26881503E-13  0.94309080E-29 -0.34814288E-29  0.90885911E-14 -0.65710316E-14  0.47375166E-32 -0.49500571E-33  0.57619662E-16 -0.51456909E-17  0.64085001E-33 -0.67285492E-33
 -0.37521179E-13  0.29727633E-13  0.98562293E-29 -0.37960205E-29  0.94653788E-14 -0.74203684E-14  0.52700364E-32 -0.72889747E-33  0.61983285E-16 -0.80302281E-17  0.70990966E-33 -0.76422778E-33
 -0.38743930E-13  0.32808484E-13  0.10302976E-28 -0.41360603E-29  0.98349941E-14 -0.83467691E-14  0.58452101E-32 -0.99633347E-33  0.66566998E-16 -0.11305130E-16  0.78340518E-33 -0.86936951E-33
 -0.39930819E-13  0.36139234E-13  0.10772720E-28 -0.45035055E-29  0.10193896E-13 -0.93556595E-14  0.64666369E-32 -0.13009774E-32  0.71373502E-16 -0.15007926E-16  0.86121635E-33 -0.99019253E-33
 -0.41070245E-13  0.39735761E-13  0.11267236E-28 -0.49005011E-29  0.10538079E-13 -0.10452748E-13  0.71383167E-32 -0.16469144E-32  0.76404546E-16 -0.19179089E-16  0.94310934E-33 -0.11288615E-32
 -0.42149296E-13  0.43614650E-13  0.11788546E-28 -0.53294094E-29  0.10863025E-13 -0.11644033E-13  0.78647056E-32 -0.20387140E-32  0.81660790E-16 -0.23862243E-16  0.10287056E-32 -0.12878254E-32
 -0.43153649E-13  0.47793207E-13  0.12338951E-28 -0.57928454E-29  0.11163656E-13 -0.12935812E-13  0.86507774E-32 -0.24815057E-32  0.87141659E-16 -0.29104377E-16  0.11174433E-32 -0.14698528E-32
 -0.44067469E-13  0.52289469E-13  0.12921080E-28 -0.62937212E-29  0.11434279E-13 -0.14334684E-13  0.95020946E-32 -0.29810677E-32  0.92845181E-16 -0.34956090E-16  0.12085303E-32 -0.16780712E-32
 -0.44873298E-13  0.57122218E-13  0.13537944E-28 -0.68352988E-29  0.11668528E-13 -0.15847560E-13  0.10424887E-31 -0.35439337E-32  0.98767824E-16 -0.41471846E-16  0.13008856E-32 -0.19160089E-32
 -0.45551947E-13  0.62310988E-13  0.14192998E-28 -0.74212562E-29  0.11859300E-13 -0.17481665E-13  0.11426141E-31 -0.41775197E-32  0.10490431E-15 -0.48710257E-16  0.13930689E-32 -0.21876408E-32
 -0.46082383E-13  0.67876088E-13  0.14890209E-28 -0.80557670E-29  0.11998685E-13 -0.19244545E-13  0.12513696E-31 -0.48902751E-32  0.11124741E-15 -0.56734389E-16  0.14831934E-32 -0.24974366E-32
 -0.46441612E-13  0.73838611E-13  0.15634133E-28 -0.87435990E-29  0.12077887E-13 -0.21144070E-13  0.13696359E-31 -0.56918637E-32  0.11778776E-15 -0.65612107E-16  0.15688207E-32 -0.28504112E-32
 -0.46604566E-13  0.80220459E-13  0.16430010E-28 -0.94902344E-29  0.12087146E-13 -0.23188435E-13  0.14984016E-31 -0.65933790E-32  0.12451363E-15 -0.75416450E-16  0.16468332E-32 -0.32521753E-32
 -0.46543987E-13  0.87044377E-13  0.17283859E-28 -0.10302016E-28  0.12015640E-13 -0.25386165E-13  0.16387772E-31 -0.76076015E-32  0.13141069E-15 -0.86226049E-16  0.17132796E-32 -0.37089858E-32
 -0.46230314E-13  0.94333987E-13  0.18202587E-28 -0.11186329E-28  0.11851387E-13 -0.27746114E-13  0.17920084E-31 -0.87493057E-32  0.13846174E-15 -0.98125602E-16  0.17631899E-32 -0.42277916E-32
 -0.45631573E-13  0.10211384E-12  0.19194116E-28 -0.12151817E-28  0.11581131E-13 -0.30277466E-13  0.19594915E-31 -0.10035625E-31  0.14564651E-15 -0.11120641E-15  0.17903530E-32 -0.48162730E-32
