0.000000 	 0.000000 	 300.000000 	 0 	 0 0
-10000.000000 	 0.000000 	 580.000000 	 0 	 0 	 1
-9750.000000 	 0.000000 	 611.286865 	 0 	 0 	 1
-9500.000000 	 0.000000 	 641.803406 	 0 	 0 	 1
-9250.000000 	 0.000000 	 670.798096 	 0 	 0 	 1
-9000.000000 	 0.000000 	 697.557068 	 0 	 0 	 1
-8750.000000 	 0.000000 	 721.421387 	 0 	 0 	 1
-8500.000000 	 0.000000 	 741.803406 	 0 	 0 	 1
-8250.000000 	 0.000000 	 758.201294 	 0 	 0 	 1
-8000.000000 	 0.000000 	 770.211304 	 0 	 0 	 1
-7750.000000 	 0.000000 	 777.537659 	 0 	 0 	 1
-7500.000000 	 0.000000 	 780.000000 	 0 	 0 	 1
-7250.000000 	 0.000000 	 777.537659 	 0 	 0 	 1
-7000.000000 	 0.000000 	 770.211304 	 0 	 0 	 1
-6750.000000 	 0.000000 	 758.201294 	 0 	 0 	 1
-6500.000000 	 0.000000 	 741.803406 	 0 	 0 	 1
-6250.000000 	 0.000000 	 721.421387 	 0 	 0 	 1
-6000.000000 	 0.000000 	 697.557068 	 0 	 0 	 1
-5750.000000 	 0.000000 	 670.798096 	 0 	 0 	 1
-5500.000000 	 0.000000 	 641.803406 	 0 	 0 	 1
-5250.000000 	 0.000000 	 611.286865 	 0 	 0 	 1
-5000.000000 	 0.000000 	 580.000000 	 0 	 0 	 1
-4750.000000 	 0.000000 	 548.713135 	 0 	 0 	 1
-4500.000000 	 0.000000 	 518.196594 	 0 	 0 	 1
-4250.000000 	 0.000000 	 489.201904 	 0 	 0 	 1
-4000.000000 	 0.000000 	 462.442963 	 0 	 0 	 1
-3750.000000 	 0.000000 	 438.578644 	 0 	 0 	 1
-3500.000000 	 0.000000 	 418.196594 	 0 	 0 	 1
-3250.000000 	 0.000000 	 401.798706 	 0 	 0 	 1
-3000.000000 	 0.000000 	 389.788696 	 0 	 0 	 1
-2750.000000 	 0.000000 	 382.462341 	 0 	 0 	 1
-2500.000000 	 0.000000 	 380.000000 	 0 	 0 	 1
-2250.000000 	 0.000000 	 382.462341 	 0 	 0 	 1
-2000.000000 	 0.000000 	 389.788696 	 0 	 0 	 1
-1750.000000 	 0.000000 	 401.798706 	 0 	 0 	 1
-1500.000000 	 0.000000 	 418.196594 	 0 	 0 	 1
-1250.000000 	 0.000000 	 438.578644 	 0 	 0 	 1
-1000.000000 	 0.000000 	 462.442963 	 0 	 0 	 1
-750.000000 	 0.000000 	 489.201904 	 0 	 0 	 1
-500.000000 	 0.000000 	 518.196594 	 0 	 0 	 1
-250.000000 	 0.000000 	 548.713135 	 0 	 0 	 1
0.000000 	 0.000000 	 580.000000 	 0 	 0 	 1
250.000000 	 0.000000 	 611.286865 	 0 	 0 	 1
500.000000 	 0.000000 	 641.803406 	 0 	 0 	 1
750.000000 	 0.000000 	 670.798096 	 0 	 0 	 1
1000.000000 	 0.000000 	 697.557068 	 0 	 0 	 1
1250.000000 	 0.000000 	 721.421387 	 0 	 0 	 1
1500.000000 	 0.000000 	 741.803406 	 0 	 0 	 1
1750.000000 	 0.000000 	 758.201294 	 0 	 0 	 1
2000.000000 	 0.000000 	 770.211304 	 0 	 0 	 1
2250.000000 	 0.000000 	 777.537659 	 0 	 0 	 1
2500.000000 	 0.000000 	 780.000000 	 0 	 0 	 1
2750.000000 	 0.000000 	 777.537659 	 0 	 0 	 1
3000.000000 	 0.000000 	 770.211304 	 0 	 0 	 1
3250.000000 	 0.000000 	 758.201294 	 0 	 0 	 1
3500.000000 	 0.000000 	 741.803406 	 0 	 0 	 1
3750.000000 	 0.000000 	 721.421387 	 0 	 0 	 1
4000.000000 	 0.000000 	 697.557068 	 0 	 0 	 1
4250.000000 	 0.000000 	 670.798096 	 0 	 0 	 1
4500.000000 	 0.000000 	 641.803406 	 0 	 0 	 1
4750.000000 	 0.000000 	 611.286865 	 0 	 0 	 1
5000.000000 	 0.000000 	 580.000000 	 0 	 0 	 1
5250.000000 	 0.000000 	 548.713135 	 0 	 0 	 1
5500.000000 	 0.000000 	 518.196594 	 0 	 0 	 1
5750.000000 	 0.000000 	 489.201904 	 0 	 0 	 1
6000.000000 	 0.000000 	 462.442963 	 0 	 0 	 1
6250.000000 	 0.000000 	 438.578644 	 0 	 0 	 1
6500.000000 	 0.000000 	 418.196594 	 0 	 0 	 1
6750.000000 	 0.000000 	 401.798706 	 0 	 0 	 1
7000.000000 	 0.000000 	 389.788696 	 0 	 0 	 1
7250.000000 	 0.000000 	 382.462341 	 0 	 0 	 1
7500.000000 	 0.000000 	 380.000000 	 0 	 0 	 1
7750.000000 	 0.000000 	 382.462341 	 0 	 0 	 1
8000.000000 	 0.000000 	 389.788696 	 0 	 0 	 1
8250.000000 	 0.000000 	 401.798706 	 0 	 0 	 1
8500.000000 	 0.000000 	 418.196594 	 0 	 0 	 1
8750.000000 	 0.000000 	 438.578644 	 0 	 0 	 1
9000.000000 	 0.000000 	 462.442963 	 0 	 0 	 1
9250.000000 	 0.000000 	 489.201904 	 0 	 0 	 1
9500.000000 	 0.000000 	 518.196594 	 0 	 0 	 1
9750.000000 	 0.000000 	 548.713135 	 0 	 0 	 1
10000.000000 	 0.000000 	 580.000000 	 0 	 0 	 1
