x 	 y 	 z 	 azimuth 	 dip 	 irec
-10000.000000 	 0.000000 	 597.000000 	 0.000000 	 0.000000 	 1
-9750.000000 	 0.000000 	 564.317627 	 0.000000 	 0.000000 	 2
-9500.000000 	 0.000000 	 533.441345 	 0.000000 	 0.000000 	 3
-9250.000000 	 0.000000 	 506.077271 	 0.000000 	 0.000000 	 4
-9000.000000 	 0.000000 	 483.737610 	 0.000000 	 0.000000 	 5
-8750.000000 	 0.000000 	 467.656860 	 0.000000 	 0.000000 	 6
-8500.000000 	 0.000000 	 458.723633 	 0.000000 	 0.000000 	 7
-8250.000000 	 0.000000 	 457.431580 	 0.000000 	 0.000000 	 8
-8000.000000 	 0.000000 	 463.852081 	 0.000000 	 0.000000 	 9
-7750.000000 	 0.000000 	 477.630371 	 0.000000 	 0.000000 	 10
-7500.000000 	 0.000000 	 498.005035 	 0.000000 	 0.000000 	 11
-7250.000000 	 0.000000 	 523.850220 	 0.000000 	 0.000000 	 12
-7000.000000 	 0.000000 	 553.737610 	 0.000000 	 0.000000 	 13
-6750.000000 	 0.000000 	 586.015747 	 0.000000 	 0.000000 	 14
-6500.000000 	 0.000000 	 618.900818 	 0.000000 	 0.000000 	 15
-6250.000000 	 0.000000 	 650.575684 	 0.000000 	 0.000000 	 16
-6000.000000 	 0.000000 	 679.289917 	 0.000000 	 0.000000 	 17
-5750.000000 	 0.000000 	 703.456848 	 0.000000 	 0.000000 	 18
-5500.000000 	 0.000000 	 721.740906 	 0.000000 	 0.000000 	 19
-5250.000000 	 0.000000 	 733.131775 	 0.000000 	 0.000000 	 20
-5000.000000 	 0.000000 	 737.000000 	 0.000000 	 0.000000 	 21
-4750.000000 	 0.000000 	 733.131775 	 0.000000 	 0.000000 	 22
-4500.000000 	 0.000000 	 721.740906 	 0.000000 	 0.000000 	 23
-4250.000000 	 0.000000 	 703.456848 	 0.000000 	 0.000000 	 24
-4000.000000 	 0.000000 	 679.289917 	 0.000000 	 0.000000 	 25
-3750.000000 	 0.000000 	 650.575684 	 0.000000 	 0.000000 	 26
-3500.000000 	 0.000000 	 618.900818 	 0.000000 	 0.000000 	 27
-3250.000000 	 0.000000 	 586.015747 	 0.000000 	 0.000000 	 28
-3000.000000 	 0.000000 	 553.737610 	 0.000000 	 0.000000 	 29
-2750.000000 	 0.000000 	 523.850220 	 0.000000 	 0.000000 	 30
-2500.000000 	 0.000000 	 498.005035 	 0.000000 	 0.000000 	 31
-2250.000000 	 0.000000 	 477.630371 	 0.000000 	 0.000000 	 32
-2000.000000 	 0.000000 	 463.852081 	 0.000000 	 0.000000 	 33
-1750.000000 	 0.000000 	 457.431580 	 0.000000 	 0.000000 	 34
-1500.000000 	 0.000000 	 458.723633 	 0.000000 	 0.000000 	 35
-1250.000000 	 0.000000 	 467.656860 	 0.000000 	 0.000000 	 36
-1000.000000 	 0.000000 	 483.737610 	 0.000000 	 0.000000 	 37
-750.000000 	 0.000000 	 506.077271 	 0.000000 	 0.000000 	 38
-500.000000 	 0.000000 	 533.441345 	 0.000000 	 0.000000 	 39
-250.000000 	 0.000000 	 564.317627 	 0.000000 	 0.000000 	 40
0.000000 	 0.000000 	 597.000000 	 0.000000 	 0.000000 	 41
250.000000 	 0.000000 	 629.682373 	 0.000000 	 0.000000 	 42
500.000000 	 0.000000 	 660.558655 	 0.000000 	 0.000000 	 43
750.000000 	 0.000000 	 687.922729 	 0.000000 	 0.000000 	 44
1000.000000 	 0.000000 	 710.262390 	 0.000000 	 0.000000 	 45
1250.000000 	 0.000000 	 726.343140 	 0.000000 	 0.000000 	 46
1500.000000 	 0.000000 	 735.276367 	 0.000000 	 0.000000 	 47
1750.000000 	 0.000000 	 736.568420 	 0.000000 	 0.000000 	 48
2000.000000 	 0.000000 	 730.147888 	 0.000000 	 0.000000 	 49
2250.000000 	 0.000000 	 716.369629 	 0.000000 	 0.000000 	 50
2500.000000 	 0.000000 	 695.994934 	 0.000000 	 0.000000 	 51
2750.000000 	 0.000000 	 670.149780 	 0.000000 	 0.000000 	 52
3000.000000 	 0.000000 	 640.262390 	 0.000000 	 0.000000 	 53
3250.000000 	 0.000000 	 607.984253 	 0.000000 	 0.000000 	 54
3500.000000 	 0.000000 	 575.099182 	 0.000000 	 0.000000 	 55
3750.000000 	 0.000000 	 543.424316 	 0.000000 	 0.000000 	 56
4000.000000 	 0.000000 	 514.710083 	 0.000000 	 0.000000 	 57
4250.000000 	 0.000000 	 490.543152 	 0.000000 	 0.000000 	 58
4500.000000 	 0.000000 	 472.259094 	 0.000000 	 0.000000 	 59
4750.000000 	 0.000000 	 460.868225 	 0.000000 	 0.000000 	 60
5000.000000 	 0.000000 	 457.000000 	 0.000000 	 0.000000 	 61
5250.000000 	 0.000000 	 460.868225 	 0.000000 	 0.000000 	 62
5500.000000 	 0.000000 	 472.259094 	 0.000000 	 0.000000 	 63
5750.000000 	 0.000000 	 490.543152 	 0.000000 	 0.000000 	 64
6000.000000 	 0.000000 	 514.710083 	 0.000000 	 0.000000 	 65
6250.000000 	 0.000000 	 543.424316 	 0.000000 	 0.000000 	 66
6500.000000 	 0.000000 	 575.099182 	 0.000000 	 0.000000 	 67
6750.000000 	 0.000000 	 607.984253 	 0.000000 	 0.000000 	 68
7000.000000 	 0.000000 	 640.262390 	 0.000000 	 0.000000 	 69
7250.000000 	 0.000000 	 670.149780 	 0.000000 	 0.000000 	 70
7500.000000 	 0.000000 	 695.994934 	 0.000000 	 0.000000 	 71
7750.000000 	 0.000000 	 716.369629 	 0.000000 	 0.000000 	 72
8000.000000 	 0.000000 	 730.147888 	 0.000000 	 0.000000 	 73
8250.000000 	 0.000000 	 736.568420 	 0.000000 	 0.000000 	 74
8500.000000 	 0.000000 	 735.276367 	 0.000000 	 0.000000 	 75
8750.000000 	 0.000000 	 726.343140 	 0.000000 	 0.000000 	 76
9000.000000 	 0.000000 	 710.262390 	 0.000000 	 0.000000 	 77
9250.000000 	 0.000000 	 687.922729 	 0.000000 	 0.000000 	 78
9500.000000 	 0.000000 	 660.558655 	 0.000000 	 0.000000 	 79
9750.000000 	 0.000000 	 629.682373 	 0.000000 	 0.000000 	 80
10000.000000 	 0.000000 	 597.000000 	 0.000000 	 0.000000 	 81
